Srl.,State,During Reference Period ,No. of Govt. Hospitals,No. Of Hospital Beds,During Reference Period ,No. of Govt. Hospitals,No. Of Hospital Beds,During Reference Period ,No. of Govt. Hospitals,No. Of Hospital Beds,During Reference Period ,No. of Govt. Hospitals,No. Of Hospital Beds,During Reference Period ,No. of Govt. Hospitals,No. Of Hospital Beds,During Reference Period ,No. of Govt. Hospitals,No. Of Hospital Beds,During Reference Period ,No. Of Govt. Allopathic Doctors,No. Of Govt. Dental Surgeons,During Reference Period ,No. Of Govt. Allopathic Doctors,No. Of Govt. Dental Surgeons,During Reference Period ,No. Of Govt. Allopathic Doctors,No. Of Govt. Dental Surgeons,During Reference Period ,No. Of Govt. Allopathic Doctors,No. Of Govt. Dental Surgeons,During Reference Period ,No. Of Govt. Allopathic Doctors,No. Of Govt. Dental Surgeons,During Reference Period ,No. Of Govt. Allopathic Doctors,No. Of Govt. Dental Surgeons,During Reference Period ,No. Of Govt. Allopathic Doctors,No. Of Govt. Dental Surgeons
1, Andhra Pradesh,01.01.2011,475,38050,01.01.2011,475,38050,01.01.2013,460,37961,01.01.2015,278,19848,01.01.2016,278,19848,01.01.2017,258,23138,01.01.2007,4487,131,01.01.2012,7413,302,01.01.2013,7799,420,41640,8199,369,01.01.2015,4414,264,01.01.2016,4414,264,01.01.2017,5114,491
2, Arunachal Pradesh ,01.01.2009,161,2218,01.01.2009,161,2218,01.01.2013,384,5010,01.01.2015,212,2313,01.01.2015,212,2313,31.12.2016,212,2313,01.01.2009,445,40,01.01.2012,411,39,01.01.2013,370,45,41640,418,53,01.01.2015,418,53,01.01.2015,418,53,01.01.2015,418,53
3, Assam ,01.01.2010,153,7622,01.01.2010,153,7622,01.01.2013,1020,10179,01.01.2014,1137,13381,01.01.2016,1175,16791,31.12.2016,1215,16862,01.01.2011,3844,89,01.01.2011,3844,89,01.01.2013,4676,177,41640,4401,262,01.01.2014,4401,262,01.01.2016,4522,284,01.01.2016,4522,284
4, Bihar ,01.09.2008,1717,22494,01.01.2012,230,18516,01.01.2013,671,13231,01.01.2014,1436,11552,01.01.2014,1436,11552,31.12.2016,1033,12019,01.09.2008,3979,26,01.01.2008,3979,26,01.01.2013,1206,91,41640,4963,387,01.01.2015,3576,405,01.01.2015,3576,405,01.01.2015,3576,405
5, Chattisgarh,01.01.2008,218,9428,01.01.2009,218,9428,01.01.2013,2023,10770,01.01.2014,637,12012,01.01.2014,637,12012,01.01.2016,214,9412,01.01.2008,1171,16,01.01.2008,1171,16,01.01.2013,1602,13,41640,1008,62,01.01.2014,1008,62,01.01.2014,1008,62,01.01.2017,1626,10
6, Goa ,01.01.2011,20,2686,01.01.2012,17,2609,01.01.2013,11,2510,01.01.2015,31,3118,31.12.2015,33,3114,31.12.2016,33,3646,01.01.2011,351,19,01.01.2012,312,17,01.01.2012,312,17,41640,419,18,01.01.2015,516,18,01.01.2016,569,29,01.01.2017,651,72
7, Gujarat ,01.01.2010,373,28958,01.01.2012,445,193210,01.01.2013,1553,35470,01.01.2015,385,27928,01.01.2015,385,27928,31.12.2016,486,32280,01.01.2010,2282,40,01.01.2010,2282,40,01.01.2013,3586,280,41640,3484,60,01.01.2015,3600,59,01.01.2015,3600,59,01.01.2017,5475,174
8, Haryana ,01.01.2010,154,7879,01.01.2010,154,7879,01.01.2010,154,7879,01.01.2014,159,7664,01.01.2014,159,7664,01.01.2014,159,7664,01.01.2010,2191,399,01.01.2010,2764,496,01.01.2012,2764,496,40909,2764,496,01.01.2015,2618,566,01.01.2015,2618,566,01.01.2015,2618,566
9, Himachal Pradesh ,01.01.2010,142,7961,01.01.2012,150,8479,01.01.2013,151,8485,01.01.2015,160,8776,18.11.2015,164,9431,18.11.2015,164,9431,01.01.2000,NA,272,01.01.2012,4919,105,01.01.2012,4919,105,40909,4919,105,01.01.2012,4919,105,01.01.2016,1517,276,01.01.2016,1517,276
10, Jammu & Kashmir,01.01.2008,92,3945,01.01.2008,92,3945,01.01.2008,1969,7318,01.01.2015,2812,9760,31.01.2016,2445,8491,30.12.2016,132,11651,01.01.2009,2185,257,01.01.2008,2185,257,01.01.2013,2518,575,41640,2948,605,01.01.2015,3589,588,01.01.2016,3647,614,01.01.2017,4058,513
11, Jharkhand ,01.01.2008,500,5414,01.01.2008,500,5414,01.01.2011,549,5414,01.01.2012,549,5414,31.12.2015,555,10784,31.12.2015,555,10784,01.01.2008,1701,40,01.01.2008,1701,40,01.01.2012,1701,40,40909,1701,40,01.01.2015,1656,40,01.01.2016,1793,32,01.01.2016,1793,32
12, Karnataka ,01.01.2010,919,63741,01.01.2010,919,63741,01.01.2013,765,51986,01.01.2015,654,53022,31.12.2015,494,49558,31.12.2016,475,49434,01.01.2011,4928,349,01.01.2011,4928,349,01.01.2013,4648,330,41640,4611,330,01.01.2015,4606,417,01.01.2016,4556,388,01.01.2017,4705,338
13, Kerala  ,01.01.2010,386,31285,01.01.2012,446,31960,01.01.2013,1255,37021,01.01.2015,1278,38400,01.01.2015,1278,38400,01.01.2017,1280,38004,01.01.2011,4861,105,01.01.2012,5309,105,01.01.2013,3878,68,41640,5077,121,01.01.2015,5214,121,01.01.2015,5214,121,01.01.2017,5239,172
14, Madhya Pradesh ,01.01.2011,457,28533,01.01.2011,457,28533,01.01.2013,1539,30302,01.01.2015,451,28187,01.01.2016,451,28839,01.01.2016,451,28839,01.01.2008,3662,NA,01.01.2012,4076,80,01.01.2013,4929,152,41640,4240,110,01.01.2015,4929,152,01.01.2016,4156,107,01.01.2016,4156,107
15, Maharashtra ,01.01.2011,1772,50003,01.01.2012,1366,67954,01.01.2013,1173,47217,01.01.2014,585,163865,01.01.2014,585,163865,31.12.2015,711,51446,01.01.2011,4528,54,01.01.2011,4528,54,01.01.2011,14509,54,41640,4117,27,01.01.2015,4217,31,01.01.2015,4217,31,31.12.2015,6981,80
