,,,,,,,,,,,,,,,,,
,HEALTH AND FAMILY WELFARE,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"Table 30.2: HOSPITALS AND BED STRENGTH UNDER AYUSH SYSTEMS
( as on 1st April)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Year,Ayurveda,,Unani,,Siddha,,Yoga,,Naturopathy,,Homoeopathy,,Sowa-Rigpa,,Total ,
,___________,,___________,,___________,,___________,,___________,,___________,,___________,,___________,
,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
2001,2955,43973,312,5128,237,1986,7,200,22,757,307,13694,2,25,3842,65763
2002,2932,43555,300,5023,236,1991,8,140,16,593,300,13593,2,25,3794,64920
2003,2253,43803,255,5031,276,2386,8,115,16,622,290,14087,2,32,3100,66076
2004,2228,40644,256,4582,276,2386,8,105,20,672,216,10905,2,32,3006,59326
2005,2234,41185,256,4502,276,2386,7,105,21,722,223,11205,2,32,3019,60137
2006,2394,42838,261,4489,280,2401,8,100,21,730,228,10671,2,32,3194,61261
2007,2402,43751,262,4671,277,2596,8,100,22,780,234,10933,2,32,3207,62863
2008,2416,43710,263,4686,276,2586,9,100,22,780,235,9366,2,32,3223,61260
2009,2448,44629,264,4821,275,2576,4,35,24,661,235,9596,2,32,3252,62350
2010,2458,44820,269,4894,275,2576,4,35,24,661,245,9631,2,32,3277,62649
2011,2420,42271,258,3684,269,2360,6,37,23,659,215,7799,2,32,3193,56842
2012,2421,43727,259,3744,270,2360,7,87,22,609,216,7799,0,0,3195,58321
2013,2408,42830,255,3489,267,2285,7,87,29,984,201,7381,0,0,3167,57056
2014,2829,43669,260,3569,265,2305,7,85,35,1022,208,7198,1,10,3605,57858
2015,2833,43454,265,3623,279,2440,7,85,36,1236,212,7182,0,0,3632,58020
2016,2836,42755,264,3538,279,2249,19,177,31,916,209,6615,1,0,3639,56250
,Source: Ministry of Health & Family Welfare;Deptt of AYUSH.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HEALTH AND FAMILY WELFARE,,,,,,,,,,,,,,HEALTH AND FAMILY WELFARE,,,,,,,,,,,,,,HEALTH AND FAMILY WELFARE,,,,,,,,,,,,,,HEALTH AND FAMILY WELFARE,,,,,,,,,,,,,,HEALTH AND FAMILY WELFARE,,,,,,,,,,,,,,HEALTH AND FAMILY WELFARE,,,,,,,,,,,,,,HEALTH AND FAMILY WELFARE,,,,,,,,,,,,,,HEALTH AND FAMILY WELFARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Table 30.2: HOSPITALS AND BED STRENGTH UNDER AYUSH SYSTEMS
( as on 1st April)",,,,,,,,,,,,,,"Table 30.2: HOSPITALS AND BED STRENGTH UNDER AYUSH SYSTEMS
( as on 1st April)",,,,,,,,,,,,,,"Table 30.2: HOSPITALS AND BED STRENGTH UNDER AYUSH SYSTEMS
( as on 1st April)",,,,,,,,,,,,,,"Table 30.2: HOSPITALS AND BED STRENGTH UNDER AYUSH SYSTEMS
( as on 1st April)",,,,,,,,,,,,,,"Table 30.2: HOSPITALS AND BED STRENGTH UNDER AYUSH SYSTEMS
( as on 1st April)",,,,,,,,,,,,,,"Table 30.2: HOSPITALS AND BED STRENGTH UNDER AYUSH SYSTEMS
( as on 1st April)",,,,,,,,,,,,,,"Table 30.2: HOSPITALS AND BED STRENGTH UNDER AYUSH SYSTEMS
( as on 1st April)",,,,,,,,,,,,,,"Table 30.2: HOSPITALS AND BED STRENGTH UNDER AYUSH SYSTEMS
( as on 1st April)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATES/UT,Ayurveda,,,,,,,,,,,,,,Unani,,,,,,,,,,,,,,Siddha,,,,,,,,,,,,,,Yoga,,,,,,,,,,,,,,Naturopathy,,,,,,,,,,,,,,Homoeopathy,,,,,,,,,,,,,,Sowa-Rigpa,,,,,,,,,,,,,,Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,___________,,,,,,,,,,,,,,___________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,Hosp.,Beds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
