,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PUBLIC HEALTH STATISTICS,,,,,,,,,,,,,,,,,,,35A23300
          ,,,,,,,,,,,,,,,,,,,
Table 30.3: STATISTICS OF MENTAL HOSPITALS,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Year/State/U.T.,Number of Mental Hospitals,Number of Beds available,Number of Patients admitted,Number of patients discharged during the year,Number of patients died during the year,,,,,,,,,,,,,,
1,      2,      3,          4,      5,      6,,,,,,,,,,,,,,
 2000,47(24),19341,34653,37771,5176,,,,,,,,,,,,,,
 2001,47(19),9486,46985,38736,282,,,,,,,,,,,,,,
 2002,47(14),6583(P),31727(P),26409(P),192(P),,,,,,,,,,,,,,
 2003(P),47(29),10904,57821,49537,276,,,,,,,,,,,,,,
 2004(P),47(25),10329,313119,306370,199,,,,,,,,,,,,,,
State**,,,,,,,,,,,,,,,,,,,
 Andhra Pradesh,1,..,..,..,..,,,,,,,,,,,,,,
 Assam,1,..,..,..,..,,,,,,,,,,,,,,
Bihar,1,,,,,,,,,,,,,,,,,,
 Goa,1,..,..,..,..,,,,,,,,,,,,,,
 Gujarat,4,..,..,..,..,,,,,,,,,,,,,,
Himachal Pradesh,1,,,,,,,,,,,,,,,,,,
 Jammu & Kashmir,2,..,..,..,..,,,,,,,,,,,,,,
 Jharkhand,2,..,..,..,..,,,,,,,,,,,,,,
 Karnataka,2,..,..,..,..,,,,,,,,,,,,,,
 Kerala,3,..,..,..,..,,,,,,,,,,,,,,
 Madhya Pradesh,2,..,..,..,..,,,,,,,,,,,,,,
 Maharashtra,4,..,..,..,..,,,,,,,,,,,,,,
Meghalaya,1,..,..,..,..,,,,,,,,,,,,,,
 Nagaland,1,..,..,..,..,,,,,,,,,,,,,,
Odisha,1,..,..,..,..,,,,,,,,,,,,,,
 Punjab,1,..,..,..,..,,,,,,,,,,,,,,
 Rajasthan,2,..,..,..,..,,,,,,,,,,,,,,
 Tamil Nadu,1,..,..,..,..,,,,,,,,,,,,,,
Telengana,1,,,,,,,,,,,,,,,,,,
Tripura,1,,,,,,,,,,,,,,,,,,
 Uttar Pradesh,3,..,..,..,..,,,,,,,,,,,,,,
 West Bengal,5,..,..,..,..,,,,,,,,,,,,,,
Union Territory:,,,,,,,,,,,,,,,,,,,
 Delhi,1,..,..,..,..,, ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,"Source:NCD Section, Directorate General of Health Services(C.B.H.I.)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Notes:  (1) Figures in brackets in col.(2) indicate the number of reporting hospitals.,,,,,,,,,,,,,,,,,,
, * All India/State-wise data for 2005 and onwards are not available.  ,,,,,,,,,,,,,,,,,,
,"** Latest available figures in Nation Health Profile-2017,is only for Govt. Mental Hospitals in India",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,      ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,   ,,,,,,,,,,,
