,,,,,,,,,,,
,HEALTH AND FAMILY WELFARE,,,,,,,,,
,,,,,,,,,,,
,Table 30.4: DISPENSARIES UNDER AYUSH SYSTEMS,,,,,,,,,
,(as  on 1st April),,,,,,,,,
,,,,,,,,,,,
Year,Ayurveda,Unani,Siddha,Yoga,Naturopathy,Homoeopathy,Sowa-Rigpa ,Total,,
1,2,3,4,5,6,7,8,9,,
2001,13939,958,352,65,56,5185,72,20627,,
2002,13801,945,347,63,49,4952,72,20229,,
2003,13991,881,399,70,52,5454,126,20973,,
2004,14028,951,424,70,51,5584,126,21234,,
2005,13778,971,444,71,52,5690,126,21132,,
2006,13890,1010,463,46,41,5859,126,21435,,
2007,13913,1019,488,45,42,5910,131,21548,,
2008,13989,1028,529,45,49,6030,131,21801,,
2009,14727,1128,531,57,96,6844,131,23514,,
2010,15353,1146,541,59,97,6958,135,24289,,
2011,15017,1021,821,140,97,7049,135,24146,,   
2012,15072,1147,821,122,97,7024,109,24392,,
2013,15927,1483,830,140,120,7585,22,26107,,
2014,15808,1485,845,138,123,7709,22,26130,,
2015,15555,1491,835,189,104,8117,34,26325,,
2016,15527,1489,835,234,105,8181,34,26405,,
,Source: Ministry of Health & Family Welfare;Department of AYUSH.,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HEALTH AND FAMILY WELFARE,,,,,,,,,,,,,,,,,,,,,HEALTH AND FAMILY WELFARE,,,,,,,,,,,,,,,,,,,,,HEALTH AND FAMILY WELFARE,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Table 30.4: DISPENSARIES UNDER AYUSH SYSTEMS
(as  on 1st April)",,,,,,,,,,,,,,,,,,,,,"Table 30.4: DISPENSARIES UNDER AYUSH SYSTEMS
(as  on 1st April)",,,,,,,,,,,,,,,,,,,,,"Table 30.4: DISPENSARIES UNDER AYUSH SYSTEMS
(as  on 1st April)",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Year/
States",Ayurveda,,,,,,,Unani,,,,,,,Siddha,,,,,,,Yoga,,,,,,,Naturopathy,,,,,,,Homoeopathy,,,,,,,Sowa-Rigpa ,,,,,,,Total,,,,,,
,2010,2011,2012,2013,2014,2015,2016,2010,2011,2012,2013,2014,2015,2016,2010,2011,2012,2013,2014,2015,2016,2010,2011,2012,2013,2014,2015,2016,2010,2011,2012,2013,2014,2015,2016,2010,2011,2012,2013,2014,2015,2016,2010,2011,2012,2013,2014,2015,2016,2010,2011,2012,2013,2014,2015,2016
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
States ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andhra Pradesh,1003,1003,1003,1003,362,333,333,269,269,269,269,73,75,75,-,-,-,,0,0,0,-,-,-,,0,0,0,47,47,47,47,0,0,0,518,518,518,518,193,193,193,1,1,1,,0,0,0,1838,1837,1838,1837,628,601,601
Arunachal Pradesh,2,2,2,2,2,16,17,-,-,-,,0,1,1,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,55,55,55,55,55,96,95,6,6,6,6,6,0,0,63,57,63,63,63,113,113
Assam,380,380,380,380,380,380,380,1,1,1,1,1,1,1,-,-,-,,0,0,0,-,-,-,,0,0,0,-,-,-,,0,0,0,75,75,75,75,75,75,75,-,-,-,,0,0,0,456,456,456,456,456,456,456
