,,,,,,
,HEALTH AND FAMILY WELFARE,,,,,
,"Table 30.5: FACILITIES AND BENEFICIARIES UNDER 
CENTRAL GOVERNMENT HEALTH SCHEME (CGHS)",,,,,
,,,,,,
,(As on 31st March),,,,,
Year,Type of Dispensaries,,CGHS Lab,Dental Units,Total No. of Cards,Total No. of beneficiaries
,,,,,,
,Allopathic,AYUSH,,,,
1,2,3,4,5,6,7
2001,241,79,..,..,1003537,4354410
2002,244,79,..,..,1045024,4385271
2003,244,79,..,..,1041942,4457911
2004,247,86,..,..,1066251,4558794
2005,246,85,..,..,1032350,4285662
2006,244,85,..,..,911447,3301264
2007,247,85,..,..,900335,3411365
2008,247,88,..,..,857872,3209804
2009,246,86,64,21,934825,3181719
2010,246,85,67,20,847081,3152781
2011,246,85,65,22,806485,2580674
2012,250,86,67,20,1025900,3358959
2013,-,-,-,-,-,-
2014,260,90,82,21,982461,3191131
2015,273,85,73,21,-,-
2016,275,85,73,21,961259,2952251
,Source:Ministry of Health & Family Welfare ,,,,,
,,,,,,
,( - )=Not Available,,,,,
